CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score_Sum,Customer_Persona,HoldoutOrders,HoldoutMonetary,IsChurned,Prob_Active,Predicted_90Day_CLV,Recommended_Campaign,Campaign_Strategy_Note
12346.0,234,12,77556.46,3,5,5,355,13,Loyal Customers,0,0.0,1,0.6570769967233925,3037.443381185713,Cross-Sell Drive,Recommend bundle products based on purchase history.
12347.0,38,6,4114.18,4,4,5,445,13,Champions,2,1519.14,0,0.7850443620180436,800.4912875559276,VIP Loyalty Program,"Early access to new launches, zero discount needed."
12348.0,157,4,1709.4,3,3,4,334,10,Loyal Customers,1,310.0,0,0.5344800984321925,312.74363121794875,Cross-Sell Drive,Recommend bundle products based on purchase history.
12349.0,316,3,2671.14,2,3,4,234,9,At Risk,1,1757.55,0,0.40328821625089084,305.92605405191443,Standard Retention Push,Automated email re-engagement.
12350.0,219,1,334.4,3,1,2,312,6,Others / Need Attention,0,0.0,1,0.26580261146715134,105.83753676321892,Suppress / Low-Cost Ads,Exclude from paid campaigns to save marketing budget.
12351.0,284,1,300.93,2,1,2,212,5,About to Sleep,0,0.0,1,0.27693082555782333,83.27938890263654,Suppress / Low-Cost Ads,Exclude from paid campaigns to save marketing budget.
12352.0,171,7,1905.61,3,4,4,344,11,Loyal Customers,3,944.23,0,0.5947808839907709,296.7724580136506,Cross-Sell Drive,Recommend bundle products based on purchase history.
12353.0,113,2,406.76,3,2,2,322,7,Promising / Potential,0,0.0,1,0.45342601611381883,134.95106139336832,Cross-Sell Drive,Recommend bundle products based on purchase history.
12354.0,141,1,1079.4,3,1,3,313,7,Others / Need Attention,0,0.0,1,0.3937414357990159,257.2661471774573,Suppress / Low-Cost Ads,Exclude from paid campaigns to save marketing budget.
12355.0,123,2,947.61,3,2,3,323,8,Promising / Potential,0,0.0,1,0.49228428724709494,226.7537183461862,Cross-Sell Drive,Recommend bundle products based on purchase history.
12356.0,154,5,6315.33,3,4,5,345,12,Loyal Customers,1,58.35,0,0.6471270357053756,533.5865443145561,Cross-Sell Drive,Recommend bundle products based on purchase history.
12357.0,297,2,12079.99,2,2,5,225,9,About to Sleep,1,6207.67,0,0.4598886580761218,1602.4081673336466,Suppress / Low-Cost Ads,Exclude from paid campaigns to save marketing budget.
12358.0,59,4,3203.87,4,3,5,435,12,Loyal Customers,1,683.2,0,0.6883895618085869,512.7678236064133,Cross-Sell Drive,Recommend bundle products based on purchase history.
12359.0,98,9,6059.09,4,5,5,455,14,Champions,1,2876.85,0,0.7886392861002439,747.663776063649,VIP Loyalty Program,"Early access to new launches, zero discount needed."
12360.0,21,7,3209.11,5,4,5,545,14,Champions,1,1043.78,0,0.7994880922513846,519.9025198216958,VIP Loyalty Program,"Early access to new launches, zero discount needed."
12361.0,196,4,511.25,3,3,2,332,8,Loyal Customers,0,0.0,1,0.3867351763544056,95.70626338789087,Cross-Sell Drive,Recommend bundle products based on purchase history.
12362.0,29,5,1877.35,5,4,4,544,13,Champions,6,3478.88,0,0.7456053052640793,724.4850268608039,VIP Loyalty Program,"Early access to new launches, zero discount needed."
12363.0,18,2,552.0,5,2,2,522,9,Promising / Potential,0,0.0,1,0.5550813881858567,275.28054563582526,Cross-Sell Drive,Recommend bundle products based on purchase history.
12364.0,21,1,623.92,5,1,3,513,9,New Customers,3,689.18,0,0.5886802418578692,370.1739728984967,Onboarding Sequence,10% discount on 2nd purchase within 30 days.
