CustomerID,Recency,Frequency,Monetary
12346.0,234,12,77556.46
12347.0,38,6,4114.18
12348.0,157,4,1709.4
12349.0,316,3,2671.14
12350.0,219,1,334.4
12351.0,284,1,300.93
12352.0,171,7,1905.61
12353.0,113,2,406.76
12354.0,141,1,1079.4
12355.0,123,2,947.61
12356.0,154,5,6315.33
12357.0,297,2,12079.99
12358.0,59,4,3203.87
12359.0,98,9,6059.09
12360.0,21,7,3209.11
12361.0,196,4,511.25
12362.0,29,5,1877.35
12363.0,18,2,552.0
12364.0,21,1,623.92
12365.0,200,2,641.38
12366.0,542,1,500.24
12368.0,537,1,917.7
12369.0,322,3,1791.15
12370.0,183,6,3581.03
12371.0,318,3,2179.42
12372.0,121,2,914.92
12373.0,220,3,1127.65
12374.0,330,3,2246.29
12375.0,7,1,230.3
12376.0,298,2,503.15
12377.0,224,4,3426.32
12378.0,38,2,5416.32
12379.0,79,3,1227.82
12380.0,94,8,7559.04
12381.0,28,1,1268.74
12383.0,93,5,1850.56
12384.0,30,1,292.69
12385.0,288,1,1938.4
12386.0,246,2,660.8
12387.0,324,1,143.94
12388.0,57,6,2788.79
12389.0,311,3,1433.33
12391.0,373,5,2312.53
12392.0,500,1,234.75
12393.0,154,5,1877.95
12394.0,126,1,381.08
12395.0,21,11,3948.21
12396.0,583,1,931.43
12397.0,44,1,1214.81
12399.0,28,7,1962.3
12400.0,323,1,205.25
12401.0,212,1,84.3
12402.0,232,6,1256.9
12403.0,430,1,591.66
12404.0,591,1,63.24
12405.0,57,1,1710.39
12406.0,92,4,4596.31
12407.0,43,4,1407.36
12408.0,7,7,3586.27
12409.0,91,5,18553.7
12410.0,217,3,1013.71
12411.0,318,1,346.9
12412.0,46,5,2260.79
12413.0,145,3,805.25
12414.0,126,6,952.41
12415.0,8,22,121631.72
12416.0,565,1,202.56
12417.0,15,18,5984.33
12418.0,21,4,2021.2
12419.0,294,2,503.01
12421.0,23,5,920.12
12422.0,4,17,5231.8
12423.0,9,9,2413.75
12424.0,71,4,3340.03
12425.0,357,1,964.21
12426.0,103,2,1345.21
12427.0,280,1,607.0
12428.0,29,8,7548.12
12429.0,81,7,6580.39
12431.0,28,23,9245.09
12432.0,79,3,4016.66
12433.0,0,6,13600.62
12434.0,169,2,583.54
12435.0,176,5,10075.03
12436.0,8,1,509.01
12437.0,7,32,10543.4
12438.0,49,1,890.07
12439.0,591,2,1158.18
12440.0,371,2,859.2
12441.0,275,1,347.1
12443.0,641,1,485.31
12444.0,30,2,2627.27
12445.0,329,1,301.58
