CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score_Sum,Customer_Persona
12346.0,234,12,77556.46,3,5,5,355,13,Loyal Customers
12347.0,38,6,4114.18,4,4,5,445,13,Champions
12348.0,157,4,1709.4,3,3,4,334,10,Loyal Customers
12349.0,316,3,2671.14,2,3,4,234,9,At Risk
12350.0,219,1,334.4,3,1,2,312,6,Others / Need Attention
12351.0,284,1,300.93,2,1,2,212,5,About to Sleep
12352.0,171,7,1905.61,3,4,4,344,11,Loyal Customers
12353.0,113,2,406.76,3,2,2,322,7,Promising / Potential
12354.0,141,1,1079.4,3,1,3,313,7,Others / Need Attention
12355.0,123,2,947.61,3,2,3,323,8,Promising / Potential
12356.0,154,5,6315.33,3,4,5,345,12,Loyal Customers
12357.0,297,2,12079.99,2,2,5,225,9,About to Sleep
12358.0,59,4,3203.87,4,3,5,435,12,Loyal Customers
12359.0,98,9,6059.09,4,5,5,455,14,Champions
12360.0,21,7,3209.11,5,4,5,545,14,Champions
12361.0,196,4,511.25,3,3,2,332,8,Loyal Customers
12362.0,29,5,1877.35,5,4,4,544,13,Champions
12363.0,18,2,552.0,5,2,2,522,9,Promising / Potential
12364.0,21,1,623.92,5,1,3,513,9,New Customers
12365.0,200,2,641.38,3,2,3,323,8,Promising / Potential
12366.0,542,1,500.24,1,1,2,112,4,Hibernating / Lost
12368.0,537,1,917.7,1,1,3,113,5,Hibernating / Lost
12369.0,322,3,1791.15,2,3,4,234,9,At Risk
12370.0,183,6,3581.03,3,4,5,345,12,Loyal Customers
12371.0,318,3,2179.42,2,3,4,234,9,At Risk
12372.0,121,2,914.92,3,2,3,323,8,Promising / Potential
12373.0,220,3,1127.65,3,3,3,333,9,Loyal Customers
12374.0,330,3,2246.29,2,3,4,234,9,At Risk
12375.0,7,1,230.3,5,1,1,511,7,New Customers
12376.0,298,2,503.15,2,2,2,222,6,About to Sleep
12377.0,224,4,3426.32,3,3,5,335,11,Loyal Customers
12378.0,38,2,5416.32,4,2,5,425,11,Promising / Potential
12379.0,79,3,1227.82,4,3,4,434,11,Loyal Customers
12380.0,94,8,7559.04,4,5,5,455,14,Champions
12381.0,28,1,1268.74,5,1,4,514,10,New Customers
12383.0,93,5,1850.56,4,4,4,444,12,Champions
12384.0,30,1,292.69,5,1,2,512,8,New Customers
12385.0,288,1,1938.4,2,1,4,214,7,About to Sleep
12386.0,246,2,660.8,2,2,3,223,7,About to Sleep
12387.0,324,1,143.94,2,1,1,211,4,About to Sleep
12388.0,57,6,2788.79,4,4,5,445,13,Champions
12389.0,311,3,1433.33,2,3,4,234,9,At Risk
12391.0,373,5,2312.53,1,4,4,144,9,Can't Lose Them
12392.0,500,1,234.75,1,1,1,111,3,Hibernating / Lost
12393.0,154,5,1877.95,3,4,4,344,11,Loyal Customers
12394.0,126,1,381.08,3,1,2,312,6,Others / Need Attention
12395.0,21,11,3948.21,5,5,5,555,15,Champions
12396.0,583,1,931.43,1,1,3,113,5,Hibernating / Lost
12397.0,44,1,1214.81,4,1,4,414,9,New Customers
12399.0,28,7,1962.3,5,4,4,544,13,Champions
12400.0,323,1,205.25,2,1,1,211,4,About to Sleep
12401.0,212,1,84.3,3,1,1,311,5,Others / Need Attention
12402.0,232,6,1256.9,3,4,4,344,11,Loyal Customers
12403.0,430,1,591.66,1,1,3,113,5,Hibernating / Lost
12404.0,591,1,63.24,1,1,1,111,3,Hibernating / Lost
12405.0,57,1,1710.39,4,1,4,414,9,New Customers
12406.0,92,4,4596.31,4,3,5,435,12,Loyal Customers
12407.0,43,4,1407.36,4,3,4,434,11,Loyal Customers
12408.0,7,7,3586.27,5,4,5,545,14,Champions
12409.0,91,5,18553.7,4,4,5,445,13,Champions
12410.0,217,3,1013.71,3,3,3,333,9,Loyal Customers
12411.0,318,1,346.9,2,1,2,212,5,About to Sleep
12412.0,46,5,2260.79,4,4,4,444,12,Champions
12413.0,145,3,805.25,3,3,3,333,9,Loyal Customers
12414.0,126,6,952.41,3,4,3,343,10,Loyal Customers
12415.0,8,22,121631.72,5,5,5,555,15,Champions
12416.0,565,1,202.56,1,1,1,111,3,Hibernating / Lost
12417.0,15,18,5984.33,5,5,5,555,15,Champions
12418.0,21,4,2021.2,5,3,4,534,12,Loyal Customers
12419.0,294,2,503.01,2,2,2,222,6,About to Sleep
12421.0,23,5,920.12,5,4,3,543,12,Champions
12422.0,4,17,5231.8,5,5,5,555,15,Champions
12423.0,9,9,2413.75,5,5,4,554,14,Champions
12424.0,71,4,3340.03,4,3,5,435,12,Loyal Customers
12425.0,357,1,964.21,1,1,3,113,5,Hibernating / Lost
12426.0,103,2,1345.21,4,2,4,424,10,Promising / Potential
12427.0,280,1,607.0,2,1,3,213,6,About to Sleep
12428.0,29,8,7548.12,5,5,5,555,15,Champions
12429.0,81,7,6580.39,4,4,5,445,13,Champions
12431.0,28,23,9245.09,5,5,5,555,15,Champions
12432.0,79,3,4016.66,4,3,5,435,12,Loyal Customers
12433.0,0,6,13600.62,5,4,5,545,14,Champions
12434.0,169,2,583.54,3,2,3,323,8,Promising / Potential
12435.0,176,5,10075.03,3,4,5,345,12,Loyal Customers
12436.0,8,1,509.01,5,1,2,512,8,New Customers
12437.0,7,32,10543.4,5,5,5,555,15,Champions
12438.0,49,1,890.07,4,1,3,413,8,New Customers
12439.0,591,2,1158.18,1,2,4,124,7,Hibernating / Lost
12440.0,371,2,859.2,1,2,3,123,6,Hibernating / Lost
12441.0,275,1,347.1,2,1,2,212,5,About to Sleep
12443.0,641,1,485.31,1,1,2,112,4,Hibernating / Lost
12444.0,30,2,2627.27,5,2,4,524,11,Promising / Potential
12445.0,329,1,301.58,2,1,2,212,5,About to Sleep
12447.0,152,1,476.49,3,1,2,312,6,Others / Need Attention
12449.0,0,5,3493.18,5,4,5,545,14,Champions
12450.0,65,5,688.2,4,4,3,443,11,Champions
12451.0,127,5,8942.18,3,4,5,345,12,Loyal Customers
12453.0,43,1,707.09,4,1,3,413,8,New Customers
12454.0,304,4,13151.44,2,3,5,235,10,At Risk
12455.0,36,9,5589.45,5,5,5,555,15,Champions
12456.0,40,2,2265.4,4,2,4,424,10,Promising / Potential
12457.0,142,4,1699.93,3,3,4,334,10,Loyal Customers
12458.0,193,3,1272.01,3,3,4,334,10,Loyal Customers
12459.0,514,1,454.36,1,1,2,112,4,Hibernating / Lost
12460.0,365,1,326.65,1,1,2,112,4,Hibernating / Lost
12461.0,3,2,826.88,5,2,3,523,10,Promising / Potential
12462.0,212,1,762.11,3,1,3,313,7,Others / Need Attention
12463.0,84,3,985.79,4,3,3,433,10,Loyal Customers
12464.0,15,6,780.55,5,4,3,543,12,Champions
12465.0,78,1,440.94,4,1,2,412,7,New Customers
12466.0,591,1,56.73,1,1,1,111,3,Hibernating / Lost
12467.0,332,1,132.8,2,1,1,211,4,About to Sleep
12468.0,96,5,3670.74,4,4,5,445,13,Champions
12469.0,431,2,3070.54,1,2,5,125,8,Hibernating / Lost
12470.0,598,1,211.95,1,1,1,111,3,Hibernating / Lost
12471.0,16,68,31256.14,5,5,5,555,15,Champions
12472.0,47,17,16236.08,4,5,5,455,14,Champions
12473.0,23,2,1186.25,5,2,4,524,11,Promising / Potential
12474.0,7,26,9410.72,5,5,5,555,15,Champions
12475.0,318,1,426.26,2,1,2,212,5,About to Sleep
12476.0,50,18,10490.66,4,5,5,455,14,Champions
12477.0,9,6,15890.66,5,4,5,545,14,Champions
12480.0,52,6,4328.17,4,4,5,445,13,Champions
12481.0,88,13,10866.83,4,5,5,455,14,Champions
12482.0,485,29,23691.4,1,5,5,155,11,Can't Lose Them
12483.0,7,17,4259.66,5,5,5,555,15,Champions
12484.0,9,10,5491.58,5,5,5,555,15,Champions
12485.0,438,1,708.1,1,1,3,113,5,Hibernating / Lost
12486.0,340,1,1037.28,2,1,3,213,6,About to Sleep
12487.0,639,1,285.3,1,1,2,112,4,Hibernating / Lost
12489.0,245,1,334.93,3,1,2,312,6,Others / Need Attention
12490.0,2,17,7958.3,5,5,5,555,15,Champions
12492.0,14,2,578.39,5,2,3,523,10,Promising / Potential
12493.0,74,2,433.74,4,2,2,422,8,Promising / Potential
12494.0,70,7,1495.63,4,4,4,444,12,Champions
12495.0,549,1,357.4,1,1,2,112,4,Hibernating / Lost
12496.0,529,2,54.09,1,2,1,121,4,Hibernating / Lost
12497.0,309,2,5205.4,2,2,5,225,9,About to Sleep
12499.0,469,1,393.72,1,1,2,112,4,Hibernating / Lost
12500.0,15,14,3471.23,5,5,5,555,15,Champions
12501.0,245,1,2169.39,3,1,4,314,8,Others / Need Attention
12502.0,4,5,3723.87,5,4,5,545,14,Champions
12503.0,493,1,1126.0,1,1,3,113,5,Hibernating / Lost
12504.0,326,2,297.0,2,2,2,222,6,About to Sleep
12505.0,317,1,955.2,2,1,3,213,6,About to Sleep
12506.0,141,1,73.5,3,1,1,311,5,Others / Need Attention
12507.0,43,4,1844.06,4,3,4,434,11,Loyal Customers
12509.0,193,1,176.5,3,1,1,311,5,Others / Need Attention
12510.0,51,9,5178.02,4,5,5,455,14,Champions
12511.0,337,1,3084.02,2,1,5,215,8,About to Sleep
12513.0,21,1,612.29,5,1,3,513,9,New Customers
12514.0,176,2,1597.76,3,2,4,324,9,Promising / Potential
